Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5357833655705996,0.1795138888888889,0.003387225097284453,0.10729166666666666,0.07222222222222222,0.5501618122977346,0.5144230769230769,0.10793237971391417,0.07615384615384616,0.0,0.006944444444444444,-0.010648596321393998,0.0,0.006944444444444444,0,0.0,0.0,0.0,1.0,0.013888888888888888,0.008982874966747016,0.0,0.013888888888888888,0,1.0,0.0,0.03389830508474576
1,0.5454545454545454,0.14895833333333333,0.6260243086466987,0.07569444444444444,0.07326388888888889,0.5871559633027523,0.5023696682464455,0.08062418725617686,0.07923076923076923,0.5,0.013888888888888888,0.0027674962787890204,0.013888888888888888,0.0,0.5,0,0.014084507042253521,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
2,0.5212121212121212,0.171875,0.1970443680430924,0.09027777777777778,0.08159722222222222,0.5269230769230769,0.5148936170212766,0.08517555266579974,0.08846153846153847,0.7142857142857143,0.04861111111111111,0.015055438741581351,0.027777777777777776,0.020833333333333332,0.5,1.0,0.028169014084507043,0.041666666666666664,0.5,0.05555555555555555,-0.00374531567772793,0.027777777777777776,0.027777777777777776,0.5,0.5,0.024096385542168676,0.01694915254237288
3,0.5490196078431373,0.17708333333333334,0.8771658380224908,0.11041666666666666,0.06666666666666667,0.5786163522012578,0.5,0.11638491547464239,0.07076923076923076,0.5,0.027777777777777776,0.0015143465456765378,0.020833333333333332,0.006944444444444444,0.6666666666666666,0.0,0.028169014084507043,0.0,1.0,0.013888888888888888,0.006065270770399228,0.006944444444444444,0.006944444444444444,1.0,1.0,0.012048192771084338,0.01694915254237288
4,0.579225352112676,0.19722222222222222,0.6303983081843646,0.11423611111111111,0.08298611111111111,0.60790273556231,0.5397489539748954,0.12873862158647595,0.09461538461538462,0.6086956521739131,0.1597222222222222,0.03139513634556088,0.11805555555555555,0.041666666666666664,0.6470588235294118,0.5,0.15492957746478872,0.041666666666666664,0.56,0.1736111111111111,-0.050744607652858625,0.1527777777777778,0.020833333333333332,0.5454545454545454,0.6666666666666666,0.13253012048192772,0.03389830508474576
5,0.5885714285714285,0.18229166666666666,0.9029335731629001,0.11006944444444444,0.07222222222222222,0.6309148264984227,0.5240384615384616,0.12613784135240572,0.08153846153846153,0.3333333333333333,0.020833333333333332,-0.001738137010199558,0.006944444444444444,0.013888888888888888,1.0,0.0,0.014084507042253521,0.0,0.25,0.027777777777777776,-0.005815607472294883,0.013888888888888888,0.013888888888888888,0.5,0.0,0.012048192771084338,0.0
6,0.5646817248459959,0.16909722222222223,1.182788358177389,0.08993055555555556,0.07916666666666666,0.5714285714285714,0.5570175438596491,0.09557867360208062,0.09384615384615384,0.0,0.013888888888888888,-0.004998792032229047,0.0,0.013888888888888888,0,0.0,0.0,0.0,0.25,0.027777777777777776,-0.006872580985800634,0.013888888888888888,0.013888888888888888,0.0,0.5,0.0,0.01694915254237288
7,0.6093457943925233,0.1857638888888889,1.0804291494016933,0.103125,0.08263888888888889,0.6464646464646465,0.5630252100840336,0.12158647594278284,0.10153846153846154,0.6666666666666666,0.041666666666666664,0.011782747547338828,0.034722222222222224,0.006944444444444444,0.6,1.0,0.04225352112676056,0.013888888888888888,0.42857142857142855,0.04861111111111111,-0.011568740708518505,0.04861111111111111,0.0,0.42857142857142855,0,0.03614457831325301,0.0
8,0.6003401360544217,0.20416666666666666,1.5080811743012859,0.11493055555555555,0.08923611111111111,0.6404833836858006,0.5486381322957199,0.13459037711313393,0.10615384615384615,0.3333333333333333,0.0625,-0.02973614761430305,0.041666666666666664,0.020833333333333332,0.16666666666666666,0.6666666666666666,0.014084507042253521,0.027777777777777776,0.4,0.1736111111111111,-0.03858651622330571,0.11805555555555555,0.05555555555555555,0.47058823529411764,0.25,0.0963855421686747,0.03389830508474576
9,0.6379928315412187,0.19375,2.0852812926111084,0.10902777777777778,0.08472222222222223,0.6910828025477707,0.569672131147541,0.13719115734720416,0.10461538461538461,0.5333333333333333,0.10416666666666667,0.008133422841427635,0.027777777777777776,0.0763888888888889,0.5,0.5454545454545454,0.028169014084507043,0.08333333333333333,0.375,0.1111111111111111,-0.03974783924296076,0.013888888888888888,0.09722222222222222,1.0,0.2857142857142857,0.024096385542168676,0.06779661016949153
