iteration,trainAccuracy,trainCoverage,trainReward,validationAccuracy,validationCoverage,validationReward
0,0.4908641975308642,0.675,39200.0,0.5212121212121212,0.55,-2512.5
1,0.529,0.6666666666666666,82250.0,0.5058139534883721,0.5733333333333334,-9562.5
2,0.49699491447064265,0.721,31325.0,0.531986531986532,0.99,14625.0
3,0.5251954821894005,0.7673333333333333,43362.5,0.5185185185185185,0.99,8937.5
4,0.5191846522781774,0.834,-18075.0,0.5208333333333334,0.96,11037.5
5,0.5359848484848485,0.528,27825.0,0,0.0,0.0
6,0.5277173913043478,0.6133333333333333,20162.5,0.5185185185185185,0.99,9487.5
7,0.5370985603543743,0.903,4412.5,0.5185185185185185,0.99,7925.0
8,0.5165595650024716,0.6743333333333333,26650.0,0.5151515151515151,0.99,6962.5
9,0.5178041543026706,0.8986666666666666,-1675.0,0.5151515151515151,0.99,7900.0
10,0.5359223300970873,0.8583333333333333,49212.5,0.5100671140939598,0.9933333333333333,4387.5
11,0.5328947368421053,0.912,66075.0,0.4882154882154882,0.99,-8262.5
12,0.5342857142857143,0.9333333333333333,-1037.5,0,0.0,0.0
13,0.5305164319248826,0.71,17475.0,0.5151515151515151,0.99,7900.0
14,0.5371380612673101,0.7943333333333333,-19650.0,0,0.0,0.0
15,0.5290159798149706,0.3963333333333333,2287.5,0,0.0,0.0
16,0.5350418410041841,0.6373333333333333,22112.5,0.5218855218855218,0.99,12487.5
17,0.5406534954407295,0.8773333333333333,55612.5,0.5151515151515151,0.99,8650.0
18,0.5244648318042814,0.872,27362.5,0.5185185185185185,0.99,8087.5
19,0.5468409586056645,0.918,73900.0,0.5218855218855218,0.99,11025.0
20,0.5439798125450613,0.9246666666666666,66225.0,0.5050505050505051,0.99,5462.5
21,0.5349764407393983,0.9196666666666666,22262.5,0.5151515151515151,0.99,7300.0
22,0.5269961977186312,0.8766666666666667,14237.5,0.5167785234899329,0.9933333333333333,8937.5
23,0.5362076182503139,0.7963333333333333,-4350.0,0.5185185185185185,0.99,8312.5
24,0.5249241439098397,0.769,8812.5,0.5151515151515151,0.99,7450.0
25,0.5386277687736358,0.617,6950.0,0.5252525252525253,0.99,10262.5
26,0.5279187817258884,0.788,-12125.0,0.5151515151515151,0.99,9512.5
27,0.5473217881594845,0.8276666666666667,57700.0,0,0.0,0.0
28,0.5319324268644416,0.809,9425.0,0.5151515151515151,0.99,6862.5
29,0.5426447574334898,0.852,42150.0,0.5218855218855218,0.99,10400.0
30,0.5371296652558677,0.8663333333333333,34825.0,0,0.0,0.0
31,0.5313204146011717,0.7396666666666667,15062.5,0.5151515151515151,0.99,9012.5
32,0.5402550091074682,0.915,39400.0,0.5117845117845118,0.99,6025.0
33,0.5367620427381383,0.9203333333333333,36600.0,0.5151515151515151,0.99,9512.5
34,0.5126728110599078,0.868,31075.0,0.4781144781144781,0.99,-2887.5
35,0.5109518120270808,0.837,-32937.5,0.5117845117845118,0.99,5987.5
36,0.533249686323714,0.797,7512.5,0.5138888888888888,0.96,6937.5
37,0.5279433681073026,0.8946666666666667,-2562.5,0.5151515151515151,0.99,8412.5
38,0.5461155759663222,0.871,27300.0,0.5218855218855218,0.99,8025.0
39,0.5435897435897435,0.715,43775.0,0,0.0,0.0
40,0.5315232397606995,0.7243333333333334,25750.0,0.5117845117845118,0.99,5600.0
41,0.5347670250896057,0.93,35787.5,0.5,0.8133333333333334,-325.0
42,0.5297792586422324,0.8003333333333333,51162.5,0.5151515151515151,0.99,9075.0
43,0.5285171102661597,0.8766666666666667,37850.0,0.4781144781144781,0.99,-8337.5
44,0.5301470588235294,0.9066666666666666,62.5,0.5084175084175084,0.99,6062.5
45,0.534833091436865,0.9186666666666666,37625.0,0.5018181818181818,0.9166666666666666,8100.0
46,0.5413985413985414,0.777,9425.0,0.5327868852459017,0.4066666666666667,9575.0
47,0.5298701298701298,0.6416666666666667,22062.5,0.5185185185185185,0.99,10500.0
48,0.5383447228549735,0.878,26587.5,0.5134228187919463,0.9933333333333333,6650.0
49,0.5389705882352941,0.9066666666666666,18875.0,0.5185185185185185,0.99,10000.0
50,0.5372436128103635,0.9263333333333333,31900.0,0.5185185185185185,0.99,8175.0
51,0.5355432780847146,0.905,18262.5,0.5185185185185185,0.99,8762.5
52,0.5320016306563392,0.8176666666666667,49875.0,0,0.0,0.0
53,0.5518438177874186,0.7683333333333333,60237.5,0.5151515151515151,0.99,6550.0
54,0.5342066957787481,0.916,2812.5,0.48412698412698413,0.42,2275.0
55,0.5400089405453733,0.7456666666666667,8712.5,0.5151515151515151,0.99,12300.0
56,0.5431140171638741,0.8156666666666667,23737.5,0.4807692307692308,0.6933333333333334,-8775.0
57,0.5366777094178893,0.7043333333333334,375.0,0.5117845117845118,0.99,6462.5
58,0.5420365535248042,0.6383333333333333,26575.0,0.5218855218855218,0.99,11950.0
59,0.5216230646022424,0.6243333333333333,-10675.0,0.5218855218855218,0.99,13275.0
60,0.5422396856581533,0.6786666666666666,36050.0,0.5185185185185185,0.99,8300.0
61,0.5352172079291438,0.7903333333333333,31837.5,0.5185185185185185,0.99,9900.0
62,0.5316058107577543,0.849,27025.0,0.5185185185185185,0.99,8125.0
63,0.5432692307692307,0.832,22250.0,0.0,0.006666666666666667,-1650.0
64,0.5411436541143654,0.717,23925.0,0.5050505050505051,0.99,5187.5
65,0.5355064027939465,0.859,18650.0,0.5167785234899329,0.9933333333333333,7637.5
66,0.5394842868654312,0.8273333333333334,87200.0,0.5185185185185185,0.99,9525.0
67,0.5262112787926926,0.8393333333333334,3112.5,0.5151515151515151,0.99,6850.0
68,0.5419103313840156,0.855,49737.5,0.5050505050505051,0.99,337.5
69,0.5368721054506591,0.9356666666666666,49862.5,0.5218855218855218,0.99,9600.0
70,0.5367588932806324,0.8433333333333334,39350.0,0.5185185185185185,0.99,9975.0
71,0.5223264540337711,0.8883333333333333,31337.5,0.5151515151515151,0.99,6962.5
72,0.5336886181956605,0.8756666666666667,21400.0,0.5185185185185185,0.99,8625.0
73,0.5177898702385936,0.7963333333333333,-10350.0,0.3333333333333333,0.03,-350.0
74,0.5365566037735849,0.5653333333333334,-18950.0,0,0.0,0.0
75,0.5482315112540193,0.4146666666666667,9875.0,0.5100401606425703,0.83,5237.5
76,0.5387303436225975,0.5723333333333334,33587.5,0.4882154882154882,0.99,-6962.5
77,0.5190107050572167,0.903,-15425.0,0.5151515151515151,0.99,8550.0
78,0.5496493170911776,0.903,35837.5,0.5185185185185185,0.99,9450.0
79,0.5396184886280264,0.9086666666666666,24037.5,0.5151515151515151,0.99,8625.0
80,0.5249615975422427,0.868,29025.0,0.48148148148148145,0.99,-10500.0
81,0.5380692167577413,0.915,69575.0,0.5185185185185185,0.99,8837.5
82,0.5440705128205128,0.832,45700.0,0.5185185185185185,0.99,7475.0
83,0.5449254274281556,0.9163333333333333,39512.5,0.5084175084175084,0.99,5575.0
84,0.5487272727272727,0.9166666666666666,40575.0,0.5151515151515151,0.99,9762.5
85,0.5347408829174665,0.8683333333333333,1437.5,0.5151515151515151,0.99,7025.0
86,0.5309807139926138,0.8123333333333334,-87.5,0.5185185185185185,0.99,9612.5
87,0.5328024270003792,0.879,34075.0,0.5185185185185185,0.99,7687.5
88,0.5450676982591877,0.8616666666666667,49925.0,0.5084175084175084,0.99,6087.5
89,0.5362532204637468,0.9056666666666666,10175.0,0.5151515151515151,0.99,11487.5
90,0.5326211369706219,0.8736666666666667,34887.5,0.5218855218855218,0.99,10512.5
91,0.5350777398558969,0.879,12812.5,0.5151515151515151,0.99,8862.5
92,0.5412581699346405,0.816,2162.5,0.5167785234899329,0.9933333333333333,7012.5
93,0.5333614864864865,0.7893333333333333,4975.0,0.48148148148148145,0.99,-10712.5
94,0.526,0.8333333333333334,6425.0,0.4983164983164983,0.99,-6150.0
95,0.5352112676056338,0.781,14562.5,0.5151515151515151,0.99,7950.0
