Reward,Capital,AvgRw,percMiss,percHit,percHold
0,0,0.0,0,0,100
1171.0,1171.0,585.5,0,50,50
-689.5,481.5,160.5,33,33,66
-502.0,-20.5,-5.125,50,25,75
-527.0,-547.5,-109.5,60,20,80
-502.0,-1049.5,-174.91666666666666,66,16,83
-527.0,-1576.5,-225.21428571428572,71,14,85
-1316.5,-2893.0,-361.625,75,12,87
-527.0,-3420.0,-380.0,77,11,88
1960.5,-1459.5,-145.95,70,20,80
-539.5,-1999.0,-181.72727272727272,72,18,81
-527.0,-2526.0,-210.5,75,16,83
-639.5,-3165.5,-243.5,76,15,84
-566.5,-3732.0,-266.57142857142856,78,14,85
-514.5,-4246.5,-283.1,80,13,86
-527.0,-4773.5,-298.34375,81,12,87
-514.5,-5288.0,-311.05882352941177,82,11,88
-589.5,-5877.5,-326.52777777777777,83,11,88
1148.0,-4729.5,-248.92105263157896,78,15,84
-316.5,-5046.0,-252.3,80,15,80
-514.5,-5560.5,-264.7857142857143,80,14,80
-589.5,-6150.0,-279.54545454545456,81,13,81
-664.5,-6814.5,-296.2826086956522,82,13,82
898.0,-5916.5,-246.52083333333334,79,16,79
1923.0,-3993.5,-159.74,76,20,76
-216.5,-4210.0,-161.92307692307693,76,19,73
-527.0,-4737.0,-175.44444444444446,77,18,74
-602.0,-5339.0,-190.67857142857142,78,17,75
-552.0,-5891.0,-203.13793103448276,79,17,75
-502.0,-6393.0,-213.1,80,16,76
-652.0,-7045.0,-227.25806451612902,80,16,77
-54.0,-7099.0,-221.84375,81,15,75
-627.0,-7726.0,-234.12121212121212,81,15,75
235.5,-7490.5,-220.30882352941177,79,17,73
-502.0,-7992.5,-228.35714285714286,80,17,74
-664.5,-8657.0,-240.47222222222223,80,16,75
1635.5,-7021.5,-189.77027027027026,78,18,72
-254.0,-7275.5,-191.46052631578948,78,18,71
598.0,-6677.5,-171.21794871794873,76,20,69
-539.5,-7217.0,-180.425,77,20,70
2010.5,-5206.5,-126.98780487804878,75,21,68
-527.0,-5733.5,-136.51190476190476,76,21,69
-552.0,-6285.5,-146.17441860465115,76,20,69
-706.0,-6991.5,-158.89772727272728,77,20,68
273.0,-6718.5,-149.3,75,22,66
-502.0,-7220.5,-156.9673913043478,76,21,67
-514.5,-7735.0,-164.5744680851064,76,21,68
960.5,-6774.5,-141.13541666666666,75,22,66
-402.0,-7176.5,-146.4591836734694,75,22,65
646.0,-6530.5,-130.61,74,24,64
-514.5,-7045.0,-138.13725490196077,74,23,64
2773.0,-4272.0,-82.15384615384616,73,25,63
-502.0,-4774.0,-90.0754716981132,73,24,64
-564.5,-5338.5,-98.86111111111111,74,24,64
198.0,-5140.5,-93.46363636363637,72,25,63
-229.0,-5369.5,-95.88392857142857,73,25,62
60.5,-5309.0,-93.14035087719299,71,26,61
-514.5,-5823.5,-100.40517241379311,72,25,62
210.5,-5613.0,-95.13559322033899,71,27,61
-602.0,-6215.0,-103.58333333333333,71,26,61
973.0,-5242.0,-85.93442622950819,70,27,60
-129.0,-5371.0,-86.62903225806451,70,27,59
-239.5,-5610.5,-89.05555555555556,71,26,58
173.0,-5437.5,-84.9609375,70,28,57
748.0,-4689.5,-72.14615384615385,69,29,56
-502.0,-5191.5,-78.6590909090909,69,28,57
298.0,-4893.5,-73.03731343283582,68,29,56
158.5,-4735.0,-69.63235294117646,67,30,55
360.5,-4374.5,-63.39855072463768,66,31,55
-527.0,-4901.5,-70.02142857142857,67,31,55
-502.0,-5403.5,-76.1056338028169,67,30,56
-527.0,-5930.5,-82.36805555555556,68,30,56
8.5,-5922.0,-81.12328767123287,67,31,56
-102.0,-6024.0,-81.4054054054054,67,31,55
-502.0,-6526.0,-87.01333333333334,68,30,56
248.0,-6278.0,-82.60526315789474,67,31,55
-314.5,-6592.5,-85.61688311688312,67,31,54
-502.0,-7094.5,-90.9551282051282,67,30,55
-179.0,-7273.5,-92.06962025316456,68,30,54
-539.5,-7813.0,-97.6625,68,30,55
-539.5,-8352.5,-103.11728395061728,69,29,55
-502.0,-8854.5,-107.98170731707317,69,29,56
-502.0,-9356.5,-112.7289156626506,69,28,56
48.0,-9308.5,-110.81547619047619,69,29,55
246.0,-9062.5,-106.61764705882354,68,30,55
-102.0,-9164.5,-106.56395348837209,68,30,54
1198.0,-7966.5,-91.56896551724138,67,31,54
673.0,-7293.5,-82.88068181818181,67,31,53
173.0,-7120.5,-80.00561797752809,66,32,52
-89.5,-7210.0,-80.11111111111111,66,32,52
171.0,-7039.0,-77.35164835164835,65,32,51
1223.0,-5816.0,-63.21739130434783,65,33,51
85.5,-5730.5,-61.61827956989247,64,34,50
735.5,-4995.0,-53.138297872340424,63,35,50
-502.0,-5497.0,-57.863157894736844,64,34,50
35.5,-5461.5,-56.890625,63,35,50
146.0,-5315.5,-54.79896907216495,62,36,49
-539.5,-5855.0,-59.744897959183675,63,35,50
-64.5,-5919.5,-59.792929292929294,63,35,49
23.0,-5896.5,-58.965,63,36,49
-514.5,-6411.0,-63.475247524752476,63,35,49
-552.0,-6963.0,-68.26470588235294,63,35,50
-204.0,-7167.0,-69.58252427184466,64,34,49
698.0,-6469.0,-62.20192307692308,63,35,49
-527.0,-6996.0,-66.62857142857143,63,35,49
-502.0,-7498.0,-70.73584905660377,64,34,50
-602.0,-8100.0,-75.70093457943925,64,34,50
610.5,-7489.5,-69.34722222222223,63,35,50
196.0,-7293.5,-66.91284403669725,63,35,49
173.0,-7120.5,-64.73181818181818,62,36,49
810.5,-6310.0,-56.846846846846844,62,36,48
-514.5,-6824.5,-60.933035714285715,62,36,49
-502.0,-7326.5,-64.83628318584071,62,36,49
-564.5,-7891.0,-69.21929824561404,63,35,50
-354.0,-8245.0,-71.69565217391305,63,35,49
860.5,-7384.5,-63.65948275862069,62,36,49
-502.0,-7886.5,-67.40598290598291,63,35,49
-264.5,-8151.0,-69.07627118644068,63,35,49
-514.5,-8665.5,-72.81932773109244,63,35,49
260.5,-8405.0,-70.04166666666667,63,35,49
-216.5,-8621.5,-71.25206611570248,63,35,48
-314.5,-8936.0,-73.24590163934427,63,35,48
1698.0,-7238.0,-58.84552845528455,63,35,47
248.0,-6990.0,-56.37096774193548,62,36,47
298.0,-6692.0,-53.536,62,36,47
410.5,-6281.5,-49.8531746031746,61,37,46
-29.0,-6310.5,-49.688976377952756,62,37,46
-52.0,-6362.5,-49.70703125,62,36,46
-527.0,-6889.5,-53.406976744186046,62,36,46
-564.5,-7454.0,-57.33846153846154,63,36,46
448.0,-7006.0,-53.48091603053435,62,36,46
-552.0,-7558.0,-57.25757575757576,62,36,46
-216.5,-7774.5,-58.454887218045116,63,36,46
585.5,-7189.0,-53.649253731343286,62,36,46
-27.0,-7216.0,-53.45185185185185,62,36,45
260.5,-6955.5,-51.143382352941174,62,36,45
-102.0,-7057.5,-51.51459854014598,62,36,45
-527.0,-7584.5,-54.960144927536234,63,36,45
308.5,-7276.0,-52.34532374100719,62,36,45
-539.5,-7815.5,-55.825,62,36,45
-552.0,-8367.5,-59.343971631205676,63,36,46
