iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec,Walk,Date
0,0.5361194029850747,0.5815972222222222,0.2975953542610925,0.4215277777777778,0.16006944444444446,0.5568369028006589,0.4815618221258134,0.5664290343486714,0.0,0.5555555555555556,0.1875,0.011455728339887969,0.16666666666666666,0.02083333333333333,0.5416666666666666,0.6666666666666666,0.1917808219178082,0.0,0.4473684210526316,0.2638888888888889,0.058052680296462565,0.25,0.013888888888888888,0.4166666666666667,1.0,0.2297297297297297,0.0,4,30/03/2019
1,0.5657015590200446,0.4677083333333333,1.4105087779556251,0.29409722222222223,0.1736111111111111,0.6233766233766234,0.46799999999999997,0.4808813998703824,0.0,0.45,0.1388888888888889,-0.029525452164164218,0.09027777777777778,0.04861111111111111,0.5384615384615384,0.2857142857142857,0.1095890410958904,0.0,0.4324324324324325,0.2569444444444444,-0.01920787266394668,0.19444444444444445,0.0625,0.3928571428571429,0.5555555555555556,0.21621621621621626,0.0,4,30/03/2019
2,0.6055880441845354,0.534375,3.652510210435062,0.3357638888888889,0.1986111111111111,0.6494312306101344,0.5314685314685315,0.5891121192482177,0.0,0.4459459459459459,0.5138888888888888,-0.09294938861588167,0.24305555555555555,0.2708333333333333,0.4571428571428571,0.4358974358974359,0.4520547945205479,0.0,0.4936708860759494,0.5486111111111112,0.020062031118974352,0.2777777777777778,0.2708333333333333,0.45,0.5384615384615384,0.527027027027027,0.0,4,30/03/2019
3,0.6666666666666666,0.65,5.9611957129950515,0.3628472222222222,0.28715277777777776,0.7138755980861244,0.6070133010882709,0.7887232663642255,0.0,0.3818181818181817,0.3819444444444444,-0.1117118435726845,0.2708333333333333,0.1111111111111111,0.4358974358974359,0.25,0.273972602739726,0.0,0.5441176470588235,0.4722222222222222,0.034416331524714315,0.2986111111111111,0.1736111111111111,0.5581395348837209,0.52,0.5,0.0,4,30/03/2019
4,0.7032913843175218,0.7173611111111111,8.605246287635428,0.3961805555555555,0.3211805555555556,0.747589833479404,0.6486486486486487,0.9196370706416072,0.0,0.425,0.8333333333333334,-0.1769224116035291,0.4513888888888889,0.3819444444444444,0.4461538461538462,0.4,0.6712328767123288,0.0,0.4489795918367347,0.6805555555555556,-0.03755614807854544,0.3819444444444444,0.2986111111111111,0.4545454545454545,0.4418604651162791,0.581081081081081,0.0,4,30/03/2019
5,0.7192524989135158,0.7989583333333333,10.286772793049586,0.4420138888888889,0.35694444444444445,0.7454831107619796,0.6867704280155642,1.0453661697990926,0.0,0.4105263157894737,0.6597222222222222,-0.2097067157330442,0.3402777777777778,0.3194444444444444,0.4489795918367347,0.3695652173913043,0.5068493150684932,0.0,0.5208333333333334,0.6666666666666666,0.103079558734981,0.3611111111111111,0.3055555555555556,0.5192307692307693,0.5227272727272727,0.6621621621621622,0.0,4,30/03/2019
6,0.7740676496097137,0.8006944444444445,12.708526791040105,0.44479166666666653,0.3559027777777778,0.7946916471506635,0.7482926829268293,1.1367465975372648,0.0,0.4841269841269841,0.875,-0.1606993539450456,0.3611111111111111,0.5138888888888888,0.5192307692307693,0.4594594594594595,0.8082191780821918,0.0,0.5081967213114754,0.8472222222222222,0.10300518801296296,0.2916666666666667,0.5555555555555556,0.5476190476190477,0.4875,0.8243243243243243,0.0,4,30/03/2019
7,0.7779992028696692,0.8711805555555555,13.754656842011807,0.4451388888888889,0.42604166666666665,0.8159126365054602,0.7383863080684596,1.2391445236552172,0.0,0.5106382978723404,0.9791666666666666,-0.09540197628912407,0.6736111111111112,0.3055555555555556,0.5257731958762887,0.4772727272727273,0.9589041095890408,0.0,0.5070422535211268,0.9861111111111112,0.03924196279053,0.5069444444444444,0.4791666666666667,0.5342465753424658,0.4782608695652174,0.9594594594594594,0.0,4,30/03/2019
8,0.785983421250942,0.9215277777777776,14.728206185073313,0.534375,0.3871527777777778,0.7875243664717348,0.7838565022421524,1.3246921581335058,0.0,0.471830985915493,0.9861111111111112,-0.1578649727625786,0.5625,0.4236111111111111,0.4938271604938271,0.4426229508196721,0.8904109589041096,0.0,0.5142857142857142,0.9722222222222222,0.07318681554141768,0.5,0.4722222222222222,0.5277777777777778,0.5,0.9594594594594594,0.0,4,30/03/2019
9,0.8138479001135074,0.9177083333333332,16.158126730787348,0.5114583333333333,0.40625,0.8241683638832314,0.8008547008547009,1.3681140635126376,0.0,0.4791666666666667,1.0,-0.1473185721095472,0.5625,0.4375,0.4938271604938271,0.4603174603174603,0.9178082191780822,0.0,0.5140845070422535,0.9861111111111112,0.03385026438854324,0.4791666666666667,0.5069444444444444,0.5362318840579711,0.4931506849315068,0.972972972972973,0.0,4,30/03/2019
