iteration,trainAccuracy,trainCoverage,trainReward,validationAccuracy,validationCoverage,validationReward
0,0.5316523605150214,0.6213333333333333,71925.0,0.4645390070921986,0.94,-16750.0
1,0.5277475516866159,0.6126666666666667,94450.0,0.4808362369337979,0.9566666666666667,4187.5
2,0.5275670207384927,0.659,40800.0,0.5033557046979866,0.9933333333333333,10450.0
3,0.5316901408450704,0.6626666666666666,23725.0,0.5016722408026756,0.9966666666666667,6375.0
4,0.5275707898658718,0.671,12500.0,0.5167785234899329,0.9933333333333333,10725.0
5,0.5179671457905544,0.6493333333333333,27562.5,0,0.0,0.0
6,0.5131729667812142,0.582,162.5,0.5016722408026756,0.9966666666666667,7050.0
7,0.5029396044895778,0.6236666666666667,-53050.0,0.48717948717948717,0.52,912.5
8,0.5290498974709501,0.4876666666666667,-24450.0,0,0.0,0.0
9,0.5133689839572193,0.43633333333333335,17987.5,0.5134228187919463,0.9933333333333333,14137.5
10,0.5295376712328768,0.7786666666666666,19500.0,0.5134228187919463,0.9933333333333333,11300.0
11,0.5239284228048273,0.801,17662.5,0.5033557046979866,0.9933333333333333,10637.5
12,0.5301142263759087,0.642,20600.0,0.5033557046979866,0.9933333333333333,11062.5
13,0.5192939244663383,0.812,16575.0,0.5100671140939598,0.9933333333333333,10500.0
14,0.5227088402270884,0.822,-7250.0,0,0.0,0.0
15,0.5474926253687316,0.565,52075.0,0.4624505928853755,0.8433333333333334,-23050.0
16,0.5218934911242603,0.845,4362.5,0,0.0,0.0
17,0.5304740406320542,0.7383333333333333,24362.5,0.508,0.8333333333333334,4575.0
18,0.515096065873742,0.7286666666666667,1712.5,0.5,0.006666666666666667,550.0
19,0.5321324245374879,0.6846666666666666,47437.5,0.49328859060402686,0.9933333333333333,-11487.5
20,0.5,0.844,6437.5,0.5100671140939598,0.9933333333333333,12237.5
21,0.5186625194401244,0.8573333333333333,-11300.0,0.5067114093959731,0.9933333333333333,10562.5
22,0.5426326129666011,0.8483333333333334,54462.5,0.5067114093959731,0.9933333333333333,9975.0
23,0.5306828003457217,0.7713333333333333,12.5,0.5033557046979866,0.9933333333333333,10612.5
24,0.5329457364341085,0.86,49650.0,0.5,0.9933333333333333,8487.5
25,0.5313531353135313,0.909,40087.5,0.5,0.9933333333333333,7700.0
26,0.5171532846715329,0.9133333333333333,40225.0,0.5067114093959731,0.9933333333333333,8725.0
27,0.5243798118049615,0.7793333333333333,15662.5,0.5067114093959731,0.9933333333333333,12450.0
28,0.5287865367581931,0.7526666666666667,17400.0,0.4899328859060403,0.9933333333333333,-10725.0
29,0.5121951219512195,0.82,250.0,0.5033557046979866,0.9933333333333333,12950.0
30,0.530441703143653,0.8376666666666667,27137.5,0.5,0.9933333333333333,4712.5
31,0.5366037735849056,0.8833333333333333,41912.5,0.4966442953020134,0.9933333333333333,10587.5
