iteration,trainAccuracy,trainCoverage,trainReward,validationAccuracy,validationCoverage,validationReward
0,0.4996174445294568,0.41360759493670884,-8225.0,0.44761904761904764,0.35,-1975.0
1,0.48933038999264167,0.4300632911392405,-2962.5,0.5655737704918032,0.4066666666666667,687.5
2,0.610051993067591,0.5477848101265823,194362.5,0.5146198830409356,0.57,-6350.0
3,0.712776176753122,0.6588607594936708,428012.5,0.4911504424778761,0.7533333333333333,-4912.5
4,0.7700290577002906,0.7623417721518987,627775.0,0.45564516129032256,0.8266666666666667,-8762.5
5,0.8564847625797307,0.8930379746835443,992875.0,0.4840989399293286,0.9433333333333334,-5612.5
6,0.9178451178451178,0.939873417721519,1143612.5,0.47735191637630664,0.9566666666666667,-6000.0
7,0.9243081027009002,0.9490506329113924,1157212.5,0.4879725085910653,0.97,-2675.0
8,0.931757656458056,0.950632911392405,1170825.0,0.4862068965517241,0.9666666666666667,-8900.0
9,0.9416445623342176,0.9544303797468354,1197350.0,0.5103448275862069,0.9666666666666667,2400.0
10,0.9412935323383085,0.9541139240506329,1178950.0,0.5085910652920962,0.97,1837.5
11,0.9344804765056254,0.9563291139240506,1160350.0,0.503448275862069,0.9666666666666667,5175.0
12,0.9441471571906355,0.9462025316455697,1183575.0,0.5172413793103449,0.9666666666666667,-1675.0
13,0.9504159733777038,0.9509493670886076,1188087.5,0.5051546391752577,0.97,2712.5
14,0.9443889443889444,0.9503164556962025,1135312.5,0.5172413793103449,0.9666666666666667,3250.0
15,0.9529058116232465,0.9474683544303798,1170737.5,0.5223367697594502,0.97,8112.5
16,0.9458471760797342,0.9525316455696202,1162975.0,0.5397923875432526,0.9633333333333334,7087.5
17,0.9504685408299867,0.9455696202531646,1189287.5,0.5103448275862069,0.9666666666666667,2012.5
18,0.9424941491140086,0.9465189873417722,1170900.0,0.503448275862069,0.9666666666666667,7900.0
19,0.95108153078203,0.9509493670886076,1175987.5,0.5190311418685121,0.9633333333333334,8862.5
20,0.9819993571198972,0.984493670886076,1336737.5,0.5310344827586206,0.9666666666666667,11675.0
21,0.9752570694087404,0.9848101265822785,1334462.5,0.5257731958762887,0.97,12550.0
22,0.9755548407848182,0.9838607594936709,1317325.0,0.5206896551724138,0.9666666666666667,11025.0
23,0.9797557840616966,0.9848101265822785,1325237.5,0.5103448275862069,0.9666666666666667,5487.5
24,0.9749276759884281,0.984493670886076,1371550.0,0.496551724137931,0.9666666666666667,3975.0
25,0.9742847958855674,0.984493670886076,1343550.0,0.5,0.9666666666666667,-525.0
26,0.9794344473007712,0.9848101265822785,1329525.0,0.49310344827586206,0.9666666666666667,5825.0
27,0.9762210796915167,0.9848101265822785,1323325.0,0.5154639175257731,0.97,4537.5
28,0.9781280154390479,0.9838607594936709,1311775.0,0.4948453608247423,0.97,-887.5
29,0.9823207971713276,0.984493670886076,1315762.5,0.5223367697594502,0.97,7837.5
30,0.9765348762455802,0.984493670886076,1310600.0,0.5051546391752577,0.97,1125.0
31,0.9768637532133676,0.9848101265822785,1309512.5,0.4948453608247423,0.97,-3512.5
32,0.9826478149100257,0.9848101265822785,1320250.0,0.506896551724138,0.9666666666666667,1425.0
33,0.9781420765027322,0.984493670886076,1318887.5,0.496551724137931,0.9666666666666667,-6462.5
34,0.9835960115792859,0.9838607594936709,1314612.5,0.506896551724138,0.9666666666666667,-137.5
35,0.9823264781491002,0.9848101265822785,1307787.5,0.4793103448275862,0.9666666666666667,-5437.5
36,0.9810228369250563,0.9838607594936709,1307825.0,0.49310344827586206,0.9666666666666667,-187.5
37,0.9803921568627451,0.984493670886076,1313762.5,0.49310344827586206,0.9666666666666667,-3250.0
38,0.9803795432614989,0.9838607594936709,1314425.0,0.48109965635738833,0.97,-975.0
39,0.9829581993569132,0.9841772151898734,1343225.0,0.5,0.9666666666666667,-6950.0
