iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec,Walk,Date
0,0.5401785714285714,0.5444444444444444,0.9163291396016641,0.3649305555555555,0.1795138888888889,0.5632730732635585,0.4932301740812379,0.538711776187378,0.0,0.5939849624060151,0.9236111111111112,0.0930237240764632,0.9236111111111112,0.0,0.5939849624060151,0.0,0.9285714285714286,0.0,0.6527777777777778,1.0,0.07313702470693205,1.0,0.0,0.6527777777777778,0.0,1.0,0.0,7,30/03/2019
1,0.5699810006333123,0.5482638888888889,2.2961291067030705,0.3743055555555556,0.17395833333333333,0.6029684601113172,0.499001996007984,0.571893298633702,0.0,0.29411764705882354,0.11805555555555555,-0.03186274867586132,0.034722222222222224,0.08333333333333333,0.6,0.16666666666666666,0.047619047619047616,0.0,0.3333333333333333,0.04166666666666666,-0.0071006567640599545,0.0,0.04166666666666666,0.0,0.3333333333333333,0.021505376344086027,0.0,7,30/03/2019
2,0.5717131474103586,0.5229166666666667,2.2659548846150126,0.3503472222222222,0.17256944444444444,0.6134786917740337,0.4869215291750503,0.5517241379310345,0.0,0.5625,0.7777777777777778,0.07414001054236574,0.5069444444444444,0.2708333333333333,0.6301369863013698,0.4358974358974359,0.7261904761904762,0.0,0.4806201550387597,0.8958333333333334,0.01115898932047139,0.5,0.3958333333333333,0.625,0.2982456140350877,0.6559139784946236,0.0,7,30/03/2019
3,0.6017919362867098,0.6975694444444445,4.715844116001547,0.40034722222222224,0.2972222222222222,0.6426712922810061,0.5467289719626168,0.7703318152244633,0.0,0.40425531914893614,0.9791666666666666,-0.10219955535215476,0.13194444444444445,0.8472222222222222,0.4736842105263158,0.3934426229508197,0.6547619047619048,0.0,0.3819444444444444,1.0,-0.03871393262936036,0.05555555555555555,0.9444444444444444,0.75,0.3602941176470588,0.5806451612903226,0.0,7,30/03/2019
4,0.6524694154961486,0.7663194444444444,8.203382298632343,0.3958333333333333,0.3704861111111111,0.6929824561403509,0.6091846298031866,0.9180221210149642,0.0,0.6190476190476191,0.7291666666666666,0.08672031140134967,0.5972222222222222,0.13194444444444445,0.6511627906976745,0.4736842105263158,0.7619047619047619,0.0,0.6701030927835051,0.6736111111111112,0.03531037295277914,0.6597222222222222,0.013888888888888888,0.6631578947368421,1.0,0.6881720430107527,0.0,7,30/03/2019
5,0.7324192835028749,0.7850694444444445,12.174893714317164,0.44722222222222224,0.33784722222222224,0.7515527950310559,0.7070914696813977,1.0566037735849056,0.0,0.4951456310679612,0.7152777777777778,-0.04544981962117988,0.125,0.5902777777777778,0.5555555555555556,0.4823529411764706,0.5833333333333334,0.0,0.4095238095238095,0.7291666666666666,0.01571626936113685,0.02083333333333333,0.7083333333333334,1.0,0.392156862745098,0.4516129032258064,0.0,7,30/03/2019
6,0.7701100762066045,0.8201388888888889,13.752249416438401,0.4309027777777778,0.3892361111111111,0.7912973408541499,0.7466547725245317,1.162003903708523,0.0,0.5507246376811594,0.9583333333333334,0.022842678287998942,0.3541666666666667,0.6041666666666666,0.6666666666666666,0.4827586206896552,0.8809523809523809,0.0,0.4545454545454545,0.9930555555555556,-0.013759969157444716,0.2222222222222222,0.7708333333333334,0.71875,0.3783783783783784,0.6881720430107527,0.0,7,30/03/2019
7,0.7942005638340717,0.8621527777777778,15.279678911079758,0.453125,0.40902777777777777,0.8130268199233717,0.7733446519524618,1.2602472348731295,0.0,0.5401459854014599,0.9513888888888888,0.014281046223081168,0.3333333333333333,0.6180555555555556,0.6875,0.4606741573033708,0.8571428571428571,0.0,0.4428571428571429,0.9722222222222222,-0.013220449143687526,0.2013888888888889,0.7708333333333334,0.7241379310344828,0.36936936936936937,0.6559139784946236,0.0,7,30/03/2019
8,0.8221961703790543,0.8885416666666667,16.435923792061327,0.4770833333333334,0.4114583333333333,0.8377001455604076,0.8042194092827004,1.3480806766428106,0.0,0.5327102803738317,0.7430555555555556,-0.04615894036140481,0.1736111111111111,0.5694444444444444,0.76,0.4634146341463415,0.6547619047619048,0.0,0.4563106796116505,0.7152777777777778,0.0022727362266577408,0.09027777777777778,0.625,0.8461538461538461,0.4,0.4946236559139785,0.0,7,30/03/2019
9,0.8355572998430141,0.8847222222222222,16.62958716868934,0.4597222222222222,0.425,0.8549848942598187,0.8145424836601307,1.36174365647365,0.0,0.5405405405405406,0.7708333333333334,-0.019081007228407863,0.2708333333333333,0.5,0.6923076923076923,0.4583333333333333,0.6904761904761905,0.0,0.4948453608247423,0.6736111111111112,0.006098248714645812,0.11805555555555555,0.5555555555555556,0.8235294117647058,0.425,0.5053763440860215,0.0,7,30/03/2019
10,0.8455034588777863,0.9034722222222222,16.489868791225472,0.4708333333333333,0.4326388888888889,0.8657817109144543,0.8234349919743178,1.4072869225764475,0.0,0.5625,1.0,-0.04815209288598077,0.3472222222222222,0.6527777777777778,0.72,0.4787234042553192,0.9404761904761904,0.0,0.4513888888888889,1.0,0.00727748094683587,0.16666666666666666,0.8333333333333334,0.7916666666666666,0.38333333333333336,0.6881720430107527,0.0,7,30/03/2019
11,0.8465309200603318,0.9208333333333332,17.440717499197213,0.4850694444444445,0.4357638888888889,0.8690050107372942,0.8215139442231075,1.439167208848406,0.0,0.5932203389830508,0.8194444444444444,0.004480684772050728,0.4027777777777778,0.4166666666666667,0.7241379310344828,0.4666666666666667,0.8095238095238095,0.0,0.4811320754716981,0.7361111111111112,-0.002846482701704692,0.2569444444444444,0.4791666666666667,0.6486486486486487,0.39130434782608703,0.5376344086021505,0.0,7,30/03/2019
12,0.8665678280207562,0.9368055555555556,18.186256579032108,0.5111111111111111,0.4256944444444444,0.875,0.8564437194127243,1.4970722186076773,0.0,0.5546875,0.8888888888888888,-0.04044161776428782,0.25,0.6388888888888888,0.75,0.4782608695652174,0.8214285714285714,0.0,0.4274809160305344,0.9097222222222222,-0.013325223969745456,0.14583333333333334,0.7638888888888888,0.7142857142857143,0.3727272727272728,0.5913978494623656,0.0,7,30/03/2019
13,0.8766066838046273,0.9454861111111112,18.79796946362304,0.4916666666666666,0.4538194444444445,0.8968926553672316,0.854628921193573,1.5309043591411842,0.0,0.5277777777777778,1.0,-0.031058881566306068,0.5347222222222222,0.4652777777777778,0.6103896103896104,0.4328358208955224,0.8809523809523809,0.0,0.5314685314685315,0.9930555555555556,0.004756074811725533,0.4375,0.5555555555555556,0.7142857142857143,0.3875,0.8064516129032258,0.0,7,30/03/2019
14,0.8821609862219,0.9576388888888888,18.929654190717784,0.5204861111111111,0.4371527777777778,0.8899266177451635,0.8729150119142176,1.5588809368900456,0.0,0.5611510791366906,0.9652777777777778,0.015490667672020031,0.5069444444444444,0.4583333333333333,0.6438356164383562,0.4696969696969697,0.9047619047619048,0.0,0.4788732394366197,0.9861111111111112,0.034987582638060656,0.2986111111111111,0.6875,0.6976744186046512,0.3838383838383838,0.7204301075268817,0.0,7,30/03/2019
15,0.8837125315998555,0.9614583333333332,18.51222583143005,0.5152777777777777,0.4461805555555556,0.8962264150943396,0.8692607003891051,1.5699414443721535,0.0,0.5138888888888888,1.0,-0.0060617833233247796,0.5902777777777778,0.4097222222222222,0.5882352941176471,0.4067796610169492,0.8571428571428571,0.0,0.5972222222222222,1.0,0.048376313228967883,0.5694444444444444,0.4305555555555556,0.7195121951219512,0.4354838709677419,0.913978494623656,0.0,7,30/03/2019
