iteration,trainAccuracy,trainCoverage,trainReward,validationAccuracy,validationCoverage,validationReward
0,0.5504840940525588,0.6142735768903993,27437.5,0.5127118644067796,0.7866666666666666,12237.5
1,0.5552238805970149,0.5692438402718777,71987.5,0.615686274509804,0.85,19637.5
2,0.5503325942350332,0.6386292834890965,77225.0,0.5019607843137255,0.85,-1200.0
3,0.5472527472527473,0.7731520815632965,65200.0,0.6089965397923875,0.9633333333333334,19375.0
4,0.5472892758211317,0.7156612857547437,63462.5,0.5175097276264592,0.8566666666666667,11225.0
5,0.5637282425603594,0.5043896913055792,79775.0,0.6382978723404256,0.47,11450.0
6,0.6066914498141264,0.38091192296799775,152612.5,0.417910447761194,0.22333333333333333,-2287.5
7,0.5767835550181378,0.4684225431888983,96650.0,0.6373626373626373,0.6066666666666667,17250.0
8,0.5755693581780539,0.4103653355989805,112287.5,0.48484848484848486,0.44,5662.5
9,0.5918068763716167,0.38714245256301333,149550.0,0.5524861878453039,0.6033333333333334,7800.0
10,0.5965665236051502,0.3959218351741716,173700.0,0.5446009389671361,0.71,8325.0
11,0.6013897662665825,0.44831492495043895,179025.0,0.5844155844155844,0.5133333333333333,9387.5
12,0.6087798579728857,0.43868592466723305,214887.5,0.5287356321839081,0.58,10137.5
13,0.6326666666666667,0.42480883602378927,246575.0,0.5892857142857143,0.56,15487.5
14,0.6153846153846154,0.44180118946474084,253012.5,0.5093167701863354,0.5366666666666666,6312.5
15,0.6681383370125092,0.3848768054375531,309112.5,0.5460992907801419,0.47,10187.5
16,0.6985401459854015,0.3879920702350609,374500.0,0.5586592178770949,0.5966666666666667,13525.0
17,0.7039187227866474,0.3902577173605211,392262.5,0.5225225225225225,0.37,6775.0
18,0.7171641791044776,0.3794958935145851,391225.0,0.5547945205479452,0.4866666666666667,10262.5
19,0.7187257187257188,0.3644859813084112,368212.5,0.5882352941176471,0.4533333333333333,17937.5
20,0.7311912225705329,0.3613707165109034,391462.5,0.5087719298245614,0.38,1325.0
21,0.7683946488294314,0.33871424525630134,434500.0,0.5736434108527132,0.43,16712.5
22,0.7068607068607069,0.4086661002548853,396812.5,0.5686274509803921,0.51,10587.5
23,0.7344093910491563,0.3860096290002832,416750.0,0.5714285714285714,0.44333333333333336,14275.0
24,0.7416413373860182,0.3726989521382045,441287.5,0.5547945205479452,0.4866666666666667,6287.5
25,0.7755102040816326,0.3608043047295384,454787.5,0.5454545454545454,0.4033333333333333,16525.0
26,0.7396142433234422,0.3817615406400453,428775.0,0.5786163522012578,0.53,6687.5
27,0.7547027840481565,0.37638062871707734,457812.5,0.45977011494252873,0.29,8437.5
28,0.800836820083682,0.3384310393656188,464875.0,0.5210084033613446,0.39666666666666667,-662.5
29,0.6221786064769381,0.5771736052109884,272050.0,0.5757575757575758,0.44,23050.0
30,0.6494073611977542,0.4539790427640895,303512.5,0.5838509316770186,0.5366666666666666,3700.0
31,0.6965277777777777,0.4078164825828377,345812.5,0.5407407407407407,0.45,12887.5
32,0.7675889328063241,0.3582554517133956,419837.5,0.6111111111111112,0.48,3475.0
33,0.7632776934749621,0.37326536391956955,463837.5,0.5255474452554745,0.45666666666666667,16225.0
34,0.6338383838383839,0.5607476635514018,304900.0,0.6518987341772152,0.5266666666666666,15575.0
35,0.7270323859881032,0.42849051260266213,444750.0,0.4899328859060403,0.49666666666666665,6700.0
36,0.7603485838779956,0.3899745114698386,476225.0,0.6424242424242425,0.55,11887.5
37,0.6444895886236668,0.557632398753894,355175.0,0.4666666666666667,0.5,3087.5
38,0.6686355581807443,0.47946757292551684,336150.0,0.6387096774193548,0.5166666666666667,11775.0
39,0.759493670886076,0.3803455111866327,430100.0,0.5416666666666666,0.48,13012.5
40,0.7507309941520468,0.3874256584536958,433075.0,0.6732673267326733,0.33666666666666667,11362.5
41,0.7192118226600985,0.40243557065986973,382550.0,0.521978021978022,0.6066666666666667,11750.0
42,0.7508871540099361,0.3990370999716794,447912.5,0.5952380952380952,0.42,8037.5
43,0.7682926829268293,0.3715661285754744,482537.5,0.5447761194029851,0.44666666666666666,14225.0
44,0.7480916030534351,0.40809968847352024,468975.0,0.6,0.43333333333333335,5825.0
