iteration,trainAccuracy,trainCoverage,trainReward,validationAccuracy,validationCoverage,validationReward
0,0.5280103026400516,0.49145569620253166,-5137.5,0.5673076923076923,0.6933333333333334,9287.5
1,0.5220238095238096,0.5316455696202531,-39700.0,0.5833333333333334,0.12,1287.5
2,0.5592871830020562,0.4617088607594937,46175.0,0.5840336134453782,0.7933333333333333,11825.0
3,0.5554878048780488,0.5189873417721519,31050.0,0.6666666666666666,0.01,-987.5
4,0.5392781316348195,0.4471518987341772,8425.0,0.5793103448275863,0.9666666666666667,12237.5
5,0.5358511220580187,0.5781645569620253,5575.0,0.5758620689655173,0.9666666666666667,10987.5
6,0.5462478184991274,0.5439873417721519,7712.5,0.5758620689655173,0.9666666666666667,9375.0
7,0.5419401896425966,0.43386075949367087,-6112.5,0.5875486381322957,0.8566666666666667,13875.0
8,0.5494961470065205,0.5338607594936708,38187.5,0,0.0,0.0
9,0.5473840078973347,0.6411392405063291,29625.0,0.5793103448275863,0.9666666666666667,12725.0
10,0.5457303857824014,0.7300632911392405,29925.0,0.584192439862543,0.97,13462.5
11,0.5508694043655198,0.855379746835443,63737.5,0.5758620689655173,0.9666666666666667,11600.0
12,0.5383224873463485,0.8753164556962025,-1250.0,0.5793103448275863,0.9666666666666667,12450.0
13,0.5431076473453482,0.6496835443037975,21562.5,0.5876288659793815,0.97,16012.5
14,0.5521496815286624,0.7949367088607595,47800.0,0.5758620689655173,0.9666666666666667,12650.0
15,0.5417147251057286,0.8231012658227848,28387.5,0.5807560137457045,0.97,13162.5
16,0.5450236966824644,0.8680379746835443,36187.5,0.5793103448275863,0.9666666666666667,13200.0
17,0.5396317053642914,0.790506329113924,8150.0,0.5827586206896552,0.9666666666666667,13087.5
18,0.5411858336649423,0.795253164556962,5200.0,0.5689655172413793,0.9666666666666667,11300.0
19,0.5477031802120141,0.7164556962025317,15462.5,0.5793103448275863,0.9666666666666667,12737.5
20,0.5438029874848607,0.7838607594936708,24362.5,0.5793103448275863,0.9666666666666667,12975.0
21,0.5484511517077045,0.7968354430379747,26987.5,0.5807560137457045,0.97,13175.0
22,0.5476889214966985,0.8626582278481013,39475.0,0.5724137931034483,0.9666666666666667,12350.0
23,0.547045101088647,0.8139240506329114,41100.0,0,0.0,0.0
24,0.5456475583864119,0.745253164556962,15012.5,0.5588235294117647,0.68,137.5
25,0.5491237387148168,0.595886075949367,2262.5,0.5827586206896552,0.9666666666666667,14975.0
26,0.5463224893917963,0.8949367088607595,60625.0,0.5793103448275863,0.9666666666666667,11500.0
27,0.5496788817529279,0.8376582278481013,54087.5,0.5773195876288659,0.97,10962.5
28,0.5441340782122905,0.8496835443037974,30212.5,0.5773195876288659,0.97,13812.5
29,0.5476093175316714,0.774367088607595,34600.0,0.5817490494296578,0.8766666666666667,13275.0
30,0.5540240106714095,0.7117088607594937,29662.5,0.5807560137457045,0.97,12900.0
31,0.5526061776061776,0.6556962025316456,33275.0,0.5686274509803921,0.17,662.5
32,0.5510817307692307,0.5265822784810127,42987.5,0.589041095890411,0.73,9250.0
33,0.5595298926928973,0.6193037974683544,63550.0,0.525,0.26666666666666666,-3912.5
34,0.5497748874437218,0.6325949367088608,64925.0,0.6097560975609756,0.13666666666666666,1875.0
35,0.5553121577217963,0.5778481012658228,58312.5,0.5977011494252874,0.58,9175.0
36,0.5538904899135446,0.5490506329113924,34875.0,0.5818181818181818,0.7333333333333333,7362.5
37,0.5430991529646239,0.6351265822784811,31100.0,0.5661375661375662,0.63,1087.5
38,0.5542540073982737,0.5132911392405063,62725.0,0.5845410628019324,0.69,13362.5
39,0.5681818181818182,0.529113924050633,76125.0,0.5714285714285714,0.11666666666666667,3337.5
40,0.5607529948659441,0.5547468354430379,72675.0,0.5938697318007663,0.87,12875.0
41,0.5516129032258065,0.5886075949367089,72150.0,0.5847953216374269,0.57,5150.0
42,0.5548209366391185,0.5743670886075949,107175.0,0.594059405940594,0.6733333333333333,5337.5
43,0.5587170201758924,0.6117088607594937,57075.0,0.5221238938053098,0.37666666666666665,-8987.5
44,0.5578616352201258,0.5031645569620253,83537.5,0.56,0.3333333333333333,-2062.5
45,0.5569965870307167,0.46360759493670883,62000.0,0.5758620689655173,0.9666666666666667,12650.0
46,0.5441725425134799,0.7629746835443038,30725.0,0.5727272727272728,0.7333333333333333,7862.5
47,0.548051948051948,0.7310126582278481,37912.5,0.5879629629629629,0.72,15925.0
48,0.5526315789473685,0.5531645569620253,68312.5,0.5652173913043478,0.15333333333333332,2312.5
49,0.570054945054945,0.4607594936708861,78425.0,0.5486725663716814,0.7533333333333333,4262.5
50,0.5646706586826348,0.5284810126582279,114287.5,0.47368421052631576,0.06333333333333334,-1287.5
51,0.5571827057182706,0.45379746835443036,97325.0,0.5562913907284768,0.5033333333333333,3050.0
52,0.5753968253968254,0.47848101265822784,127612.5,0.5708661417322834,0.8466666666666667,9612.5
53,0.5519176800748363,0.6765822784810127,66425.0,0.5578947368421052,0.31666666666666665,6700.0
54,0.5554156171284634,0.5025316455696203,46925.0,0.5776173285198556,0.9233333333333333,11375.0
55,0.5714285714285714,0.5427215189873418,108962.5,0.5828877005347594,0.6233333333333333,10300.0
56,0.5749636098981077,0.43481012658227847,110375.0,0.574468085106383,0.31333333333333335,5887.5
57,0.5767700875099443,0.3977848101265823,110300.0,0.5847457627118644,0.3933333333333333,4537.5
58,0.5565873476494486,0.545253164556962,101187.5,0.5333333333333333,0.25,2987.5
59,0.5713383838383839,0.5012658227848101,69012.5,0.5630252100840336,0.39666666666666667,12237.5
60,0.5502082369273484,0.6838607594936709,60362.5,0.584192439862543,0.97,15587.5
61,0.5507590132827325,0.6670886075949367,19712.5,0.5,0.006666666666666667,-325.0
62,0.5566323440339188,0.5224683544303798,59787.5,0.5748987854251012,0.8233333333333334,4062.5
63,0.5485460818137013,0.6420886075949367,47862.5,0.5925925925925926,0.27,3562.5
64,0.5668866226754649,0.5275316455696203,95575.0,0.5770609318996416,0.93,10950.0
65,0.5644520159000568,0.5572784810126582,97550.0,0.5753424657534246,0.24333333333333335,3862.5
66,0.579250720461095,0.5490506329113924,150837.5,0.5602409638554217,0.5533333333333333,-1687.5
67,0.5626410835214447,0.5607594936708861,90825.0,0.75,0.02666666666666667,4662.5
68,0.5647955647955648,0.45664556962025316,40875.0,0.5510204081632653,0.32666666666666666,2337.5
69,0.5554098360655738,0.4825949367088608,86050.0,0.5954198473282443,0.43666666666666665,15112.5
70,0.5708232445520581,0.5227848101265823,94125.0,0.5775862068965517,0.38666666666666666,6000.0
71,0.5626969124133585,0.5022151898734177,116925.0,0.46875,0.21333333333333335,675.0
72,0.5802238805970149,0.5088607594936709,155625.0,0.5529411764705883,0.5666666666666667,-650.0
73,0.5584868093578895,0.635759493670886,93125.0,0.5909090909090909,0.8066666666666666,10950.0
74,0.5686053077357425,0.5604430379746835,123012.5,0,0.0,0.0
