iteration,trainAccuracy,trainCoverage,trainReward,validationAccuracy,validationCoverage,validationReward
0,0.5548667079975201,0.5104430379746835,0.5542497669070868,0.5906976744186047,0.7166666666666667,0.1090700155143702
1,0.5523012552301255,0.5294303797468355,0.669881932780891,0.5787545787545788,0.91,0.106703944050426
2,0.5461448598130841,0.5417721518987342,0.4140164738804379,0.5851063829787234,0.94,0.1522134035625046
3,0.5480769230769231,0.5594936708860759,0.7414044910280095,0.4583333333333333,0.24,-0.05502952345160845
4,0.5381443298969072,0.46044303797468356,0.3132053638477955,0.5905797101449275,0.92,0.160081808868499
5,0.5355315520181921,0.5566455696202531,0.04906980434422525,0.5245901639344263,0.20333333333333334,0.01865652515476029
6,0.5456460674157303,0.4506329113924051,0.4656670145033201,0.5594405594405595,0.4766666666666667,0.02131943747422243
7,0.5408560311284046,0.4879746835443038,0.18661652590437208,0.5766423357664233,0.45666666666666667,0.07503568420782639
8,0.5605318404478656,0.45221518987341774,0.828429471427571,0.5907473309608541,0.9366666666666666,0.1820757026558546
9,0.5483686319404694,0.5528481012658227,0.1636010682237137,0.6,0.03333333333333333,-0.006836289872768256
10,0.5519911504424779,0.5721518987341773,0.48491022514681764,0.6121212121212121,0.55,0.06730367795927548
11,0.5492260061919505,0.5110759493670886,0.7106299689445637,0.5879396984924623,0.6633333333333333,0.13646607340555383
12,0.5485564304461942,0.48227848101265824,0.37825927444758245,0.5588235294117647,0.5666666666666667,0.039822589736485114
13,0.5458996328029376,0.5170886075949367,0.813210070350814,0.48,0.08333333333333333,-0.00494596281745866
14,0.5384167636786962,0.5436708860759494,-0.06198934338125208,0.5660377358490566,0.7066666666666667,0.09226494935312744
15,0.5444015444015444,0.6556962025316456,0.6364580860432492,0.5801526717557252,0.8733333333333333,0.12488386413156585
16,0.5527888446215139,0.6354430379746835,0.46562723584935156,0.5938697318007663,0.87,0.1739170447466099
17,0.5444444444444444,0.569620253164557,0.4637119536300124,0.5669642857142857,0.7466666666666667,0.15134582478855543
18,0.548692515779982,0.7018987341772152,0.26469629417462426,0.5844155844155844,0.77,0.15750595642603948
19,0.5333001988071571,0.6367088607594936,0.48385019409800706,0,0.0,0.0
20,0.5498154981549815,0.4287974683544304,0.2691188089306997,0.5641025641025641,0.52,0.02327899553965539
21,0.5378205128205128,0.4936708860759494,0.4055674187116865,0.5594405594405595,0.4766666666666667,0.027558348659110027
22,0.555004135649297,0.38259493670886074,0.42843821350475186,0.5669291338582677,0.8466666666666667,0.08156786514153144
23,0.5341416719846841,0.49588607594936707,0.4872128875605114,0.6171875,0.4266666666666667,0.12007982232774811
24,0.5362756952841596,0.5234177215189874,-0.23171367137575655,0.6578947368421053,0.12666666666666668,0.08594581729751753
25,0.5486600846262342,0.4487341772151899,0.5974546189243047,0.5957446808510638,0.7833333333333333,0.16679925024307501
26,0.5596439169139465,0.5332278481012658,0.7598469235959396,0.5793103448275863,0.9666666666666667,0.12434186410295753
27,0.5515151515151515,0.6265822784810127,0.9318497019299369,0.6041666666666666,0.48,0.10991827403670604
28,0.5408587257617729,0.4569620253164557,0.5930201097527205,0.5625,0.10666666666666667,0.028519352641664362
29,0.5449591280653951,0.34841772151898737,0.14429754960024277,0.5921985815602837,0.94,0.22700390776597645
30,0.5479921645445641,0.6462025316455696,0.7594344809179114,0.5842696629213483,0.89,0.13063236471452688
31,0.5456238361266295,0.5098101265822785,0.34125646907581864,0.5128205128205128,0.13,0.020378263616894248
32,0.5227963525835866,0.41645569620253164,-0.2860757255914237,0.5470085470085471,0.78,-0.012363715276905158
33,0.5495552731893265,0.4981012658227848,0.8604165402941957,0.5793357933579336,0.9033333333333333,0.13279551142374554
34,0.5474576271186441,0.560126582278481,0.6990667799764826,0.5778546712802768,0.9633333333333334,0.13447072935567655
35,0.5508673230192217,0.675,1.0034702022185396,0.5793103448275863,0.9666666666666667,0.13349287734572993
36,0.5479857819905213,0.5341772151898734,0.996602566819212,1.0,0.0033333333333333335,0.0017735334242837653
37,0.5383951682484901,0.3667721518987342,0.12625121861553942,0.5811965811965812,0.39,0.045269148008480406
38,0.5420289855072464,0.43670886075949367,0.2543656284936823,0,0.0,0.0
39,0.5173961840628507,0.2819620253164557,-0.2590256416162549,0.5925925925925926,0.09,0.012881303458277633
40,0.5403996524761078,0.3642405063291139,0.20050287284175558,0,0.0,0.0
41,0.546583850931677,0.3566455696202532,0.21483454246417955,0,0.0,0.0
42,0.5374449339207048,0.35917721518987344,0.27405042601367424,0.535483870967742,0.5166666666666667,-0.013314980692825554
43,0.5271265907568654,0.47246835443037977,-0.27045666573441696,0.5793103448275863,0.9666666666666667,0.1349523980830573
44,0.5486542443064182,0.6113924050632912,0.9437736994249389,0.5876288659793815,0.97,0.17156851018121652
