date,trainAccuracy,trainCoverage,trainReward,validationAccuracy,validationCoverage,validationReward,testAccuracy,testCoverage,testReward
1170,0.5502183406113537,0.7633333333333333,2050.0,0.5294117647058824,0.85,-637.5,0.8,0.5,1950.0
1675,0.5294117647058824,0.7366666666666667,100.0,0.8,0.5,1950.0,0.2857142857142857,0.7,-1837.5
2240,0.5605381165919282,0.7433333333333333,-450.0,0.35714285714285715,0.7,-1262.5,0.5454545454545454,0.55,1125.0
2764,0.5416666666666666,0.72,-75.0,0.5454545454545454,0.55,1125.0,0.5833333333333334,0.6,1462.5
3287,0.5915492957746479,0.71,4150.0,0.5,0.6,762.5,0.6428571428571429,0.7,-262.5
3805,0.5806451612903226,0.7233333333333334,11287.5,0.6428571428571429,0.7,-262.5,0.5714285714285714,0.7,-512.5
4339,0.5801886792452831,0.7066666666666667,6750.0,0.5,0.7,-1125.0,0.375,0.8,-1287.5
4863,0.5990566037735849,0.7066666666666667,8825.0,0.375,0.8,-1287.5,0.4375,0.8,-950.0
5404,0.5767441860465117,0.7166666666666667,8350.0,0.5,0.8,-637.5,0.5384615384615384,0.65,200.0
5928,0.5700934579439252,0.7133333333333334,6950.0,0.5384615384615384,0.65,200.0,0.5714285714285714,0.35,937.5
6475,0.5550239234449761,0.6966666666666667,1525.0,0.625,0.4,1012.5,0.8333333333333334,0.9,1887.5
6990,0.5665024630541872,0.6766666666666666,5437.5,0.8333333333333334,0.9,1887.5,0.5625,0.8,-187.5
7513,0.5414634146341464,0.6833333333333333,312.5,0.5882352941176471,0.85,-62.5,0.5714285714285714,0.7,2000.0
8031,0.5544554455445545,0.6733333333333333,2425.0,0.5714285714285714,0.7,2000.0,0.375,0.8,-1387.5
8572,0.5544554455445545,0.6733333333333333,6750.0,0.4117647058823529,0.85,-1275.0,0.5,0.8,-1012.5
9072,0.5446009389671361,0.71,4062.5,0.5,0.8,-1012.5,0.5,0.7,75.0
9617,0.5318181818181819,0.7333333333333333,987.5,0.42857142857142855,0.7,-850.0,0.625,0.4,1062.5
10135,0.5133928571428571,0.7466666666666667,-762.5,0.625,0.4,1062.5,0.5263157894736842,0.95,1500.0
10676,0.5308056872037915,0.7033333333333334,912.5,0.5263157894736842,0.95,1687.5,0.6666666666666666,0.45,675.0
