Episode,Date,Reward,Operation,PriceIn,TimeIn,PriceOut,TimeOut,Steps,Capital,AvgRw,MaxRw,MinRw,hit,miss,hold,long,short
2018-07-26 13:24:42.177909
End of traning
2018-07-26 13:24:42.177931
1,01/03/2016,0,0,0,,0,,0,0,0.0,0,0,0,0,100,0,0
2,01/04/2016,1160.5,2,2042.0,17:15,2018.75,23:55,81,1160.5,580.25,1161.5,-1,0,50,50,0,50
3,01/05/2016,-189.5,1,2020.25,00:00,2016.5,00:30,7,971.0,323.6666666666667,0,-188.5,33,33,33,33,33
4,01/06/2016,-39.5,1,2009.5,00:00,2008.75,00:30,7,931.5,232.875,0,-38.5,50,25,25,50,25
5,01/07/2016,-2.0,1,1996.0,00:00,1996.0,00:30,7,929.5,185.9,0,-1,60,20,20,60,20
6,01/08/2016,-114.5,1,1958.0,00:00,1955.75,00:30,7,815.0,135.83333333333334,0,-113.5,66,16,16,66,16
7,01/10/2016,-52.0,1,1949.75,00:00,1948.75,00:30,7,763.0,109.0,0,-51.0,71,14,14,71,14
8,01/11/2016,-14.5,2,1909.25,17:05,1909.5,23:55,83,748.5,93.5625,0,-13.5,75,12,12,62,25
9,01/12/2016,160.5,1,1909.5,00:00,1912.75,00:30,7,909.0,101.0,161.5,-1,66,22,11,66,22
10,01/13/2016,-189.5,1,1906.5,00:00,1902.75,00:30,7,719.5,71.95,0,-188.5,70,20,10,70,20
11,01/14/2016,10.5,1,1941.5,00:00,1941.75,00:30,7,730.0,66.36363636363636,11.5,-1,63,27,9,72,18
12,01/15/2016,98.0,1,1888.0,00:00,1890.0,00:30,7,828.0,69.0,99.0,-1,58,33,8,75,16
13,01/17/2016,-102.0,1,1900.75,00:00,1898.75,00:30,7,726.0,55.84615384615385,0,-101.0,61,30,7,76,15
14,01/18/2016,-502.0,2,1869.75,17:05,1879.75,21:45,57,224.0,16.0,0,-501.0,64,28,7,71,21
15,01/19/2016,-189.5,1,1879.75,00:00,1876.0,00:30,7,34.5,2.3,0,-188.5,66,26,6,73,20
16,01/20/2016,23.0,1,1892.75,00:00,1893.25,00:30,7,57.5,3.59375,24.0,-1,62,31,6,75,18
17,01/21/2016,-77.0,1,1841.75,00:00,1840.25,00:30,7,-19.5,-1.1470588235294117,0,-76.0,64,29,5,76,17
18,01/22/2016,-214.5,1,1850.25,00:00,1846.0,00:30,7,-234.0,-13.0,0,-213.5,66,27,5,77,16
19,01/24/2016,-114.5,1,1878.75,00:00,1876.5,00:30,7,-348.5,-18.342105263157894,0,-113.5,68,26,5,78,15
20,01/25/2016,10.5,2,1899.5,17:05,1899.25,23:55,83,-338.0,-16.9,11.5,-1,65,30,5,75,20
21,01/26/2016,60.5,1,1899.0,00:00,1900.25,00:30,7,-277.5,-13.214285714285714,61.5,-1,61,33,4,76,19
22,01/27/2016,-77.0,1,1865.0,00:00,1863.5,00:30,7,-354.5,-16.113636363636363,0,-76.0,63,31,4,77,18
23,01/28/2016,85.5,1,1886.75,00:00,1888.5,00:30,7,-269.0,-11.695652173913043,86.5,-1,60,34,4,78,17
24,01/29/2016,85.5,1,1878.25,00:00,1880.0,00:30,7,-183.5,-7.645833333333333,86.5,-1,58,37,4,79,16
25,01/31/2016,160.5,1,1894.5,00:00,1897.75,00:30,7,-23.0,-0.92,161.5,-1,56,40,4,80,16
26,02/01/2016,35.5,2,1929.75,17:05,1929.0,23:55,83,12.5,0.4807692307692308,36.5,-1,53,42,3,76,19
27,02/02/2016,23.0,1,1928.0,00:00,1928.5,00:30,7,35.5,1.3148148148148149,24.0,-1,51,44,3,77,18
28,02/03/2016,110.5,1,1920.5,00:00,1922.75,00:30,7,146.0,5.214285714285714,111.5,-1,50,46,3,78,17
29,02/04/2016,-2.0,1,1892.75,00:00,1892.75,00:30,7,144.0,4.9655172413793105,0,-1,51,44,3,79,17
30,02/05/2016,148.0,1,1916.75,00:00,1919.75,00:30,7,292.0,9.733333333333333,149.0,-1,50,46,3,80,16
31,02/07/2016,-127.0,1,1905.75,00:00,1903.25,00:30,7,165.0,5.32258064516129,0,-126.0,51,45,3,80,16
32,02/08/2016,-302.0,2,1876.25,17:05,1882.25,23:55,83,-137.0,-4.28125,0,-301.0,53,43,3,78,18
33,02/09/2016,60.5,1,1881.25,00:00,1882.5,00:30,7,-76.5,-2.3181818181818183,61.5,-1,51,45,3,78,18
34,02/10/2016,-77.0,1,1837.25,00:00,1835.75,00:30,7,-153.5,-4.514705882352941,0,-76.0,52,44,2,79,17
35,02/11/2016,73.0,1,1840.5,00:00,1842.0,00:30,7,-80.5,-2.3,74.0,-1,51,45,2,80,17
36,02/12/2016,-152.0,1,1836.75,00:00,1833.75,00:30,7,-232.5,-6.458333333333333,0,-151.0,52,44,2,80,16
37,02/14/2016,-2.0,1,1826.5,00:00,1826.5,00:30,7,-234.5,-6.337837837837838,0,-1,54,43,2,81,16
38,02/15/2016,-514.5,2,1865.25,17:05,1875.5,21:15,51,-749.0,-19.710526315789473,0,-513.5,55,42,2,78,18
39,02/16/2016,-139.5,1,1879.25,00:00,1876.5,00:30,7,-888.5,-22.78205128205128,0,-138.5,56,41,2,79,17
40,02/17/2016,-52.0,1,1890.5,00:00,1889.5,00:30,7,-940.5,-23.5125,0,-51.0,57,40,2,80,17
41,02/18/2016,-177.0,1,1887.0,00:00,1883.5,00:30,7,-1117.5,-27.25609756097561,0,-176.0,58,39,2,80,17
42,02/19/2016,-27.0,1,1926.75,00:00,1926.25,00:30,7,-1144.5,-27.25,0,-26.0,59,38,2,80,16
