Episode,Date,Reward,Operation,PriceIn,TimeIn,PriceOut,TimeOut,Steps,Capital,AvgRw,MaxRw,MinRw
1,01/03/2016,0,0,0,,0,,0,0,0.0,0,0
2,01/04/2016,0,0,0,,0,,81,0,0.0,0,0
3,01/05/2016,0,0,0,,0,,273,0,0.0,0,0
4,01/06/2016,10.5,1,2009.5,00:00,2009.75,00:05,2,10.5,2.625,11.5,-1
5,01/07/2016,-2.0,2,1996.0,00:00,1996.0,00:05,2,8.5,1.7,0,-1
6,01/08/2016,73.0,1,1958.0,00:00,1959.5,00:05,2,81.5,13.583333333333334,74.0,-1
7,01/10/2016,10.5,1,1949.75,00:00,1950.0,00:05,2,92.0,13.142857142857142,11.5,-1
8,01/11/2016,0,0,0,,0,,83,92.0,11.5,0,0
9,01/12/2016,10.5,1,1909.5,00:00,1909.75,00:05,2,102.5,11.38888888888889,11.5,-1
10,01/13/2016,1835.5,1,1906.5,00:00,1943.25,23:55,274,1938.0,193.8,1836.5,-1
11,01/14/2016,23.0,1,1941.5,00:00,1942.0,00:05,2,1961.0,178.27272727272728,24.0,-1
12,01/15/2016,73.0,1,1888.0,00:00,1889.5,00:05,2,2034.0,169.5,74.0,-1
13,01/17/2016,110.5,1,1900.75,00:00,1903.0,00:05,2,2144.5,164.96153846153845,111.5,-1
14,01/18/2016,0,0,0,,0,,83,2144.5,153.17857142857142,0,0
15,01/19/2016,10.5,2,1879.75,00:00,1879.5,00:05,2,2155.0,143.66666666666666,11.5,-1
16,01/20/2016,0,0,0,,0,,274,2155.0,134.6875,0,0
17,01/21/2016,35.5,1,1841.75,00:00,1842.5,00:05,2,2190.5,128.85294117647058,36.5,-1
18,01/22/2016,10.5,1,1850.25,00:00,1850.5,00:05,2,2201.0,122.27777777777777,11.5,-1
19,01/24/2016,10.5,2,1878.75,00:00,1878.5,00:05,2,2211.5,116.39473684210526,11.5,-1
20,01/25/2016,0,0,0,,0,,83,2211.5,110.575,0,0
21,01/26/2016,10.5,1,1899.0,00:00,1899.25,00:05,2,2222.0,105.80952380952381,11.5,-1
22,01/27/2016,10.5,1,1865.0,00:00,1865.25,00:05,2,2232.5,101.47727272727273,11.5,-1
23,01/28/2016,23.0,2,1886.75,00:00,1886.25,00:05,2,2255.5,98.06521739130434,24.0,-1
24,01/29/2016,0,0,0,,0,,273,2255.5,93.97916666666667,0,0
25,01/31/2016,1810.5,1,1894.5,00:00,1930.75,16:00,190,4066.0,162.64,1811.5,-1
26,02/01/2016,0,0,0,,0,,83,4066.0,156.3846153846154,0,0
27,02/02/2016,0,0,0,,0,,274,4066.0,150.59259259259258,0,0
28,02/03/2016,-2.0,2,1920.5,00:00,1920.5,00:05,2,4064.0,145.14285714285714,0,-1
29,02/04/2016,48.0,1,1892.75,00:00,1893.75,00:05,2,4112.0,141.79310344827587,49.0,-1
30,02/05/2016,10.5,2,1916.75,00:00,1916.5,00:05,2,4122.5,137.41666666666666,11.5,-1
31,02/07/2016,10.5,2,1905.75,00:00,1905.5,00:05,2,4133.0,133.32258064516128,11.5,-1
32,02/08/2016,0,0,0,,0,,83,4133.0,129.15625,0,0
33,02/09/2016,35.5,1,1881.25,00:00,1882.0,00:05,2,4168.5,126.31818181818181,36.5,-1
34,02/10/2016,0,0,0,,0,,273,4168.5,122.6029411764706,0,0
35,02/11/2016,-2.0,2,1840.5,00:00,1840.5,00:05,2,4166.5,119.04285714285714,0,-1
36,02/12/2016,23.0,2,1836.75,00:00,1836.25,00:05,2,4189.5,116.375,24.0,-1
37,02/14/2016,60.5,1,1826.5,00:00,1827.75,00:05,2,4250.0,114.86486486486487,61.5,-1
38,02/15/2016,0,0,0,,0,,83,4250.0,111.84210526315789,0,0
39,02/16/2016,-2.0,1,1879.25,00:00,1879.25,00:05,2,4248.0,108.92307692307692,0,-1
40,02/17/2016,23.0,2,1890.5,00:00,1890.0,00:05,2,4271.0,106.775,24.0,-1
