<<<<<<< HEAD
=======
Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
<<<<<<< HEAD
0,0.5104859335038363,0.6788194444444444,0.7106169372208277,0.3458333333333333,0.3329861111111111,0.5532128514056225,0.46611053180396245,0.35019455252918286,0.3361669242658423,0.5,0.7361111111111112,0.04637664333392653,0.6458333333333334,0.09027777777777778,0.5053763440860215,0.46153846153846156,0.6133333333333333,0.08823529411764706,0.46875,0.8888888888888888,-0.07565528327794006,0.8541666666666666,0.034722222222222224,0.4796747967479675,0.2,0.8169014084507042,0.013888888888888888
1,0.6448351648351648,0.7899305555555556,8.399616084481366,0.4822916666666667,0.3076388888888889,0.6580273578113751,0.6241534988713319,0.5784695201037614,0.41731066460587324,0.5948275862068966,0.8055555555555556,0.2343290371115299,0.3125,0.4930555555555556,0.6,0.5915492957746479,0.3466666666666667,0.6176470588235294,0.5176470588235295,0.5902777777777778,-0.0036795817348723127,0.2361111111111111,0.3541666666666667,0.5,0.5294117647058824,0.23943661971830985,0.375
2,0.7247431506849316,0.8111111111111111,12.739181909813954,0.41944444444444445,0.39166666666666666,0.7607615894039735,0.6861702127659575,0.5797665369649806,0.589644513137558,0.5669291338582677,0.8819444444444444,0.1311222079986293,0.4513888888888889,0.4305555555555556,0.6307692307692307,0.5,0.5466666666666666,0.4411764705882353,0.4957983193277311,0.8263888888888888,-0.023971634798046267,0.5902777777777778,0.2361111111111111,0.49411764705882355,0.5,0.5774647887323944,0.2361111111111111
3,0.7752675386444708,0.8760416666666667,15.011983848034442,0.49583333333333335,0.3802083333333333,0.780812324929972,0.7680365296803653,0.7068741893644618,0.6383307573415765,0.5151515151515151,0.9166666666666666,0.05872907966732154,0.5694444444444444,0.3472222222222222,0.5365853658536586,0.48,0.5866666666666667,0.3382352941176471,0.49193548387096775,0.8611111111111112,-0.0175144883025944,0.6875,0.1736111111111111,0.5050505050505051,0.44,0.6901408450704225,0.1527777777777778
4,0.8105945121951219,0.9111111111111111,16.12108309076296,0.521875,0.3892361111111111,0.8117099135063207,0.8090990187332738,0.7749675745784695,0.6924265842349304,0.5428571428571428,0.9722222222222222,0.057574008432686126,0.4375,0.5347222222222222,0.5714285714285714,0.5194805194805194,0.48,0.5735294117647058,0.5177304964539007,0.9791666666666666,-0.032900963600709474,0.5416666666666666,0.4375,0.5256410256410257,0.5079365079365079,0.5633802816901409,0.4444444444444444
5,0.829368029739777,0.9340277777777778,17.51676797472041,0.4986111111111111,0.4354166666666667,0.8474930362116991,0.8086124401913876,0.7775616083009079,0.768160741885626,0.5069444444444444,1.0,0.0018215365098645147,0.5555555555555556,0.4444444444444444,0.525,0.484375,0.56,0.4411764705882353,0.4928571428571429,0.9722222222222222,-0.009118062731526197,0.5833333333333334,0.3888888888888889,0.4880952380952381,0.5,0.5774647887323944,0.375
6,0.8377483443708609,0.94375,17.33697141277555,0.5152777777777777,0.4284722222222222,0.8490566037735849,0.8241491085899514,0.7996108949416343,0.7743431221020093,0.5357142857142857,0.9722222222222222,0.032475533484582424,0.5763888888888888,0.3958333333333333,0.5542168674698795,0.5087719298245614,0.6133333333333333,0.4117647058823529,0.48507462686567165,0.9305555555555556,-0.0396322789870293,0.5902777777777778,0.3402777777777778,0.4823529411764706,0.4897959183673469,0.5774647887323944,0.3194444444444444
7,0.8494583488980202,0.9295138888888889,17.669766583464718,0.528125,0.4013888888888889,0.8500986193293886,0.8486159169550173,0.8229571984435797,0.7449768160741885,0.5208333333333334,1.0,0.04253227782312154,0.5972222222222222,0.4027777777777778,0.5348837209302325,0.5,0.6133333333333333,0.4117647058823529,0.47794117647058826,0.9444444444444444,-0.0461101441843267,0.6597222222222222,0.2847222222222222,0.4842105263157895,0.4634146341463415,0.6338028169014085,0.2638888888888889
8,0.85,0.9375,17.598999995570967,0.5253472222222222,0.41215277777777776,0.8559153998678123,0.8424599831508003,0.8229571984435797,0.7627511591962906,0.5571428571428572,0.9722222222222222,0.07040478835960175,0.5486111111111112,0.4236111111111111,0.569620253164557,0.5409836065573771,0.6,0.47058823529411764,0.5149253731343284,0.9305555555555556,0.005482285431065801,0.5694444444444444,0.3611111111111111,0.524390243902439,0.5,0.5915492957746479,0.3611111111111111
9,0.862708719851577,0.9357638888888888,17.8824393626066,0.5041666666666667,0.43159722222222224,0.8774104683195593,0.8455349959774738,0.8119325551232166,0.7975270479134466,0.5486111111111112,1.0,0.11599351437771596,0.5833333333333334,0.4166666666666667,0.5595238095238095,0.5333333333333333,0.6266666666666667,0.45588235294117646,0.5140845070422535,0.9861111111111112,-0.03806019883634945,0.6041666666666666,0.3819444444444444,0.5172413793103449,0.509090909090909,0.6197183098591549,0.3888888888888889
