Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5293398533007335,0.28402777777777777,0.1822791156900705,0.16597222222222222,0.11805555555555555,0.5648535564853556,0.47941176470588237,0.17100130039011704,0.12,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.006944444444444444,0.0033975084937712344,0.0,0.006944444444444444,0,1.0,0.0,0.01694915254237288
1,0.52,0.1996527777777778,0.006750126858325526,0.1326388888888889,0.06701388888888889,0.5575916230366492,0.44559585492227977,0.13459037711313393,0.06384615384615384,0.5,0.05555555555555555,-0.032461081796317307,0.05555555555555555,0.0,0.5,0,0.056338028169014086,0.0,0.6,0.034722222222222224,0.0021483664616282713,0.034722222222222224,0.0,0.6,0,0.024096385542168676,0.0
2,0.5574074074074075,0.1875,0.5293970569120281,0.146875,0.040625,0.5886524822695035,0.4444444444444444,0.15799739921976594,0.038461538461538464,0.4482758620689655,0.2013888888888889,0.0028465922338684,0.2013888888888889,0.0,0.4482758620689655,0,0.16901408450704225,0.0,0.5882352941176471,0.11805555555555555,0.0627598207918585,0.11805555555555555,0.0,0.5882352941176471,0,0.10843373493975904,0.0
3,0.5259515570934256,0.20069444444444445,0.45142655862621994,0.14444444444444443,0.05625,0.5697115384615384,0.41358024691358025,0.14954486345903772,0.05153846153846154,0.0,0.006944444444444444,-0.0012414649286157666,0.006944444444444444,0.0,0.0,0,0.0,0.0,0.5,0.013888888888888888,0.0004423387562016846,0.013888888888888888,0.0,0.5,0,0.012048192771084338,0.0
4,0.528046421663443,0.1795138888888889,0.3354891597753879,0.12777777777777777,0.05173611111111111,0.5516304347826086,0.4697986577181208,0.1293888166449935,0.052307692307692305,0.4444444444444444,0.0625,0.0029959531411548786,0.04861111111111111,0.013888888888888888,0.5714285714285714,0.0,0.056338028169014086,0.0,0.6666666666666666,0.0625,-0.003977819111199528,0.027777777777777776,0.034722222222222224,0.75,0.6,0.03614457831325301,0.05084745762711865
5,0.4897196261682243,0.1857638888888889,0.1931687141812968,0.09340277777777778,0.09236111111111112,0.550185873605948,0.42857142857142855,0.09427828348504551,0.08384615384615385,0.0,0.027777777777777776,-0.020764960082066145,0.0,0.027777777777777776,0,0.0,0.0,0.0,0.7142857142857143,0.04861111111111111,0.015448234693683557,0.020833333333333332,0.027777777777777776,1.0,0.5,0.03614457831325301,0.01694915254237288
6,0.48295454545454547,0.18333333333333332,0.0027504632434798455,0.08958333333333333,0.09375,0.5387596899224806,0.42962962962962964,0.08907672301690507,0.08615384615384615,0.5,0.3472222222222222,0.04101991347439045,0.2847222222222222,0.0625,0.4634146341463415,0.6666666666666666,0.2676056338028169,0.08333333333333333,0.6071428571428571,0.3888888888888889,0.041894136531610705,0.3680555555555556,0.020833333333333332,0.6037735849056604,0.6666666666666666,0.3855421686746988,0.01694915254237288
7,0.551829268292683,0.22777777777777777,0.21406241207884408,0.13125,0.09652777777777778,0.5793650793650794,0.5143884892086331,0.13914174252275682,0.10846153846153846,0.5,0.06944444444444445,0.013786561448861548,0.0625,0.006944444444444444,0.4444444444444444,1.0,0.056338028169014086,0.013888888888888888,0.75,0.05555555555555555,0.02258970543219622,0.05555555555555555,0.0,0.75,0,0.07228915662650602,0.0
8,0.5085034013605442,0.20416666666666666,0.03142583663802413,0.11076388888888888,0.09340277777777778,0.5517241379310345,0.45724907063197023,0.11183355006501951,0.09076923076923077,0.6,0.06944444444444445,0.005300793834647687,0.06944444444444445,0.0,0.6,0,0.08450704225352113,0.0,0.7777777777777778,0.0625,0.010703435362362547,0.0625,0.0,0.7777777777777778,0,0.08433734939759036,0.0
9,0.5204991087344029,0.19479166666666667,-0.21826599462367388,0.12395833333333334,0.07083333333333333,0.5518207282913166,0.46568627450980393,0.1235370611183355,0.07,0.6,0.06944444444444445,-0.0032794451237366557,0.06944444444444445,0.0,0.6,0,0.08450704225352113,0.0,0.5,0.041666666666666664,-0.001734326119412234,0.041666666666666664,0.0,0.5,0,0.03614457831325301,0.0
10,0.5283363802559415,0.18993055555555555,-0.22738520305950907,0.12465277777777778,0.06527777777777778,0.5376044568245125,0.5106382978723404,0.1235370611183355,0.07,0.5333333333333333,0.20833333333333334,0.025473155657629393,0.20833333333333334,0.0,0.5333333333333333,0,0.22535211267605634,0.0,0.5714285714285714,0.14583333333333334,0.01112316888921719,0.14583333333333334,0.0,0.5714285714285714,0,0.13253012048192772,0.0
11,0.5009174311926605,0.1892361111111111,-0.1294843526456279,0.1125,0.07673611111111112,0.5462962962962963,0.4343891402714932,0.10988296488946683,0.07153846153846154,0.0,0.020833333333333332,-0.006651084754795232,0.0,0.020833333333333332,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
